DebayerTime,fMapTime,iMapTime
1402,4785,5005
1242,4838,4957
1242,4797,5064
1176,4895,4666
1292,4974,4580
1360,5016,4613
1244,4731,4740
1309,4813,4545
1265,5087,4704
1232,4678,4443
1319,5037,4662
1289,4842,4632
1216,4852,4524
1245,4699,4457
1240,4814,4579
1085,4785,4521
1246,4708,4659
1303,4862,4504
1232,4893,4534
1289,5013,4451
1280,4965,4452
1222,4768,4435
1042,4881,4514
1268,4836,4532
1293,4927,4556
1293,4777,4508
1208,4771,4641
1266,4697,4523
1242,4776,4485
1242,4968,4454
1234,4830,4432
1205,4823,4525
1264,4766,4482
1286,4837,4508
1213,4845,4512
1241,4776,4788
1220,4808,4485
1248,4838,4534
1320,4899,4396
1242,4871,4560
1245,4787,5004
1148,4996,4781
1254,4766,4516
1263,4859,4439
1241,4757,4492
1244,4888,4515
1244,4806,4457
1241,4739,4637
1248,4849,4435
1208,4702,4560
1314,4897,4446
1195,4695,4649
1208,4871,4472
1242,4811,4515
1243,4868,4491
1216,4682,4519
1243,4851,4616
1232,4767,4461
1264,4910,4543
1314,4788,4428
1093,5293,4424
1243,4680,4946
1256,5019,4504
1206,4828,4495
1252,5063,4463
1313,4805,4445
1241,4934,4529
1291,4947,4654
1251,4866,4482
1262,4851,4450
1217,4751,4533
1102,4800,4610
1208,4737,4669
1288,4807,4451
1249,4889,4587
1242,4952,4482
1252,4715,4450
1241,4944,4459
1234,4853,4524
1241,4871,4565
1243,5125,4480
1241,4709,4441
1208,4861,4445
1241,4825,4453
1241,4874,4532
1223,4783,4508
1257,4896,4481
1289,4836,4595
1239,4834,4526
1245,4856,4455
1254,4751,4716
1450,4909,4466
1253,4780,4964
1270,4932,4464
1225,4739,4551
1245,5068,4553
1242,4734,4495
1251,5063,4475
1208,4771,4471
1046,5155,4618
1216,4726,4511
1271,4715,4338
1246,5074,4453
1242,4813,4754
1273,5089,4550
1214,4697,4973
1374,4779,4457
1297,4874,4807
1445,4871,4467
1233,4713,4914
1210,5066,4457
1307,4883,4652
1264,5065,4483
1218,4764,4494
1242,5179,4453
1040,4827,4450
1214,5065,4493
1244,4809,4429
1248,5168,4535
1244,4873,4510
1307,5003,4666
1240,4788,4455
1262,4856,4436
1304,5005,4619
1215,4788,4592
1242,5060,4493
1257,4901,4482
1260,4958,4675
1242,4709,4986
1231,4918,4916
1277,4775,4437
1241,4879,4533
1243,4803,4446
1290,5045,4527
1041,4805,4548
1240,4798,4632
1231,4862,4469
1240,4663,4573
1285,5133,4426
1199,4696,4653
1259,5118,4903
1223,4666,5043
1246,5094,4936
1286,4650,4332
1269,5078,4425
1241,4704,4465
1186,4942,4491
1257,4776,4495
1265,4840,4511
1266,5093,4551
1204,4796,4748
1193,4823,4470
1208,4756,4809
1404,5114,4493
1252,4770,5063
1375,4752,4477
1207,4676,4780
1445,5198,4533
1226,4719,4938
1310,4860,4521
1233,4791,4589
1240,5115,4478
1243,4859,4449
1122,5167,4502
1225,5240,4339
1302,5055,4438
1287,4948,4938
1209,5105,4533
1254,4757,4697
1259,5087,4490
1242,5022,4487
1267,5079,4510
1244,4794,4482
1253,4887,4766
1184,4840,4467
1248,4663,4734
1366,5006,4432
1234,4689,5215
1393,4827,4444
1259,4690,4934
1241,5041,4454
